                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8396,                0.95354,                 2.0638,                0.97905,                      1,                  0.995,                0.65058,                 1.0576,                0.55521,                 1.1924,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.6463,                 0.7207,                 1.2925,                0.89251,                0.99649,                0.95555,                0.34902,                 2.0565,                0.92158,                 1.6109,             0.00021274,             0.00021274,             0.00021274
                      3,                 1.1159,                0.64586,                 1.1468,                 0.9253,                0.99128,                0.92818,                0.47289,                 1.6771,                0.78335,                  1.395,             0.00031756,             0.00031756,             0.00031756
                      4,                0.90521,                 0.5578,                 1.0541,                0.92231,                      1,                 0.9486,                0.73941,                0.89333,                0.56365,                 1.1332,             0.00041446,             0.00041446,             0.00041446
                      5,                 1.0074,                0.58723,                 1.0673,                0.93576,                      1,                0.98885,                0.80465,                0.76728,                 0.5066,                 1.0915,             0.00050344,             0.00050344,             0.00050344
                      6,                0.90455,                0.51164,                 1.0015,                0.98372,                      1,                  0.995,                0.69185,                0.94288,                0.54325,                 1.1352,              0.0005845,              0.0005845,              0.0005845
                      7,                0.90063,                0.49619,                 1.0099,                0.98982,                      1,                  0.995,                0.62985,                 1.0967,                0.54543,                 1.1896,             0.00065764,             0.00065764,             0.00065764
                      8,                0.85441,                0.47743,                0.99707,                0.99175,                      1,                  0.995,                0.82072,                0.73917,                 0.4313,                 1.0547,             0.00072286,             0.00072286,             0.00072286
                      9,                0.81947,                0.46541,                0.98625,                0.99406,                      1,                  0.995,                0.84523,                0.66646,                0.39461,                  1.008,             0.00078016,             0.00078016,             0.00078016
                     10,                0.76421,                0.44942,                0.94072,                0.99604,                      1,                  0.995,                0.77941,                0.84914,                0.41484,                 1.0715,             0.00082954,             0.00082954,             0.00082954
                     11,                 0.7921,                0.46055,                0.97435,                0.99671,                      1,                  0.995,                0.76767,                0.88337,                0.41072,                 1.0908,               0.000871,               0.000871,               0.000871
                     12,                0.70572,                0.41252,                0.96181,                0.99596,                      1,                  0.995,                0.81209,                0.70111,                0.37159,                 1.0353,             0.00090454,             0.00090454,             0.00090454
                     13,                0.70201,                0.39234,                 0.9594,                0.99586,                      1,                  0.995,                0.84835,                0.66134,                0.35396,                 1.0118,             0.00093016,             0.00093016,             0.00093016
                     14,                 0.6971,                0.39388,                0.91106,                0.99633,                      1,                  0.995,                0.80207,                0.73764,                0.36502,                 1.0307,             0.00094786,             0.00094786,             0.00094786
                     15,                0.70835,                0.40203,                0.96747,                 0.9962,                      1,                  0.995,                0.79528,                0.75892,                0.36459,                 1.0335,             0.00095764,             0.00095764,             0.00095764
                     16,                0.67758,                0.45929,                0.93232,                 0.9953,                      1,                  0.995,                0.81728,                 0.7349,                0.35041,                 1.0295,              0.0009595,              0.0009595,              0.0009595
                     17,                0.68768,                0.40114,                0.97262,                0.99463,                      1,                  0.995,                0.81126,                0.69291,                0.35976,                 1.0127,               0.000944,               0.000944,               0.000944
                     18,                0.68959,                0.40519,                0.92518,                0.99344,                      1,                  0.995,                 0.8514,                0.66318,                0.35974,                0.98793,               0.000878,               0.000878,               0.000878
                     19,                0.68209,                0.37857,                0.93314,                0.99367,                      1,                  0.995,                0.86058,                0.64783,                0.35834,                0.98506,               0.000812,               0.000812,               0.000812
                     20,                 0.6436,                0.38263,                0.88996,                0.99545,                      1,                  0.995,                0.84738,                0.64435,                0.34585,                0.98853,               0.000746,               0.000746,               0.000746
                     21,                0.67025,                 0.3731,                0.92716,                0.99553,                      1,                  0.995,                0.87445,                0.62779,                0.33862,                0.98405,                0.00068,                0.00068,                0.00068
                     22,                0.58723,                0.34692,                0.89463,                0.99615,                      1,                  0.995,                0.88689,                0.56659,                 0.3254,                0.97139,               0.000614,               0.000614,               0.000614
                     23,                0.64462,                0.35184,                 0.9223,                0.99665,                      1,                  0.995,                0.89147,                0.55794,                0.32248,                  0.967,               0.000548,               0.000548,               0.000548
                     24,                0.53632,                0.31966,                0.89408,                0.99722,                      1,                  0.995,                0.88147,                0.55364,                0.31134,                0.96485,               0.000482,               0.000482,               0.000482
                     25,                 0.5544,                 0.3266,                 0.8832,                0.99739,                      1,                  0.995,                0.87667,                 0.5651,                0.31146,                0.96674,               0.000416,               0.000416,               0.000416
                     26,                0.56405,                0.32619,                0.91885,                 0.9974,                      1,                  0.995,                0.88132,                0.57018,                0.31028,                 0.9657,                0.00035,                0.00035,                0.00035
                     27,                0.58237,                0.34005,                0.91573,                0.99744,                      1,                  0.995,                0.88089,                0.57182,                0.30961,                0.96621,               0.000284,               0.000284,               0.000284
                     28,                0.55565,                0.32551,                0.90554,                0.99743,                      1,                  0.995,                0.87546,                0.56876,                0.31353,                0.96535,               0.000218,               0.000218,               0.000218
                     29,                0.50976,                0.31399,                0.89113,                 0.9974,                      1,                  0.995,                0.87969,                  0.577,                0.31764,                0.96783,               0.000152,               0.000152,               0.000152
                     30,                0.54838,                0.32315,                0.89419,                0.99745,                      1,                  0.995,                0.87771,                0.58564,                0.31989,                0.97102,                8.6e-05,                8.6e-05,                8.6e-05
