                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8396,                0.95354,                 2.0638,                0.97905,                      1,                  0.995,                0.65058,                 1.0576,                0.55521,                 1.1924,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.6418,                0.72134,                 1.2909,                0.89217,                0.99305,                0.95333,                0.34015,                 2.0962,                0.93152,                 1.6286,             0.00021782,             0.00021782,             0.00021782
                      3,                 1.1139,                0.64701,                 1.1449,                0.92521,                0.98996,                0.92818,                0.49037,                 1.6429,                0.78028,                 1.3762,             0.00033327,             0.00033327,             0.00033327
                      4,                0.90641,                0.55726,                 1.0552,                 0.9216,                      1,                0.94678,                 0.7482,                0.86909,                0.55341,                 1.1251,             0.00044634,             0.00044634,             0.00044634
                      5,                 1.0176,                0.58821,                 1.0686,                0.93959,                      1,                0.98577,                0.79197,                0.76794,                  0.503,                 1.0914,             0.00055703,             0.00055703,             0.00055703
                      6,                 0.9038,                0.51786,                 1.0008,                0.97972,                      1,                  0.995,                0.66035,                 1.0024,                0.56206,                 1.1642,             0.00066535,             0.00066535,             0.00066535
                      7,                0.89894,                 0.4992,                 1.0067,                0.98653,                      1,                  0.995,                0.65081,                 1.0858,                0.53069,                 1.2164,             0.00077129,             0.00077129,             0.00077129
                      8,                0.84895,                0.47675,                0.99304,                0.99145,                      1,                  0.995,                0.82052,                0.69111,                0.43572,                 1.0333,             0.00087486,             0.00087486,             0.00087486
                      9,                 0.8437,                0.46496,                0.99008,                0.99552,                      1,                  0.995,                0.79097,                  0.748,                0.42425,                 1.0386,             0.00097605,             0.00097605,             0.00097605
                     10,                0.78186,                0.46041,                 0.9464,                0.99657,                      1,                  0.995,                0.71675,                0.99197,                0.44084,                 1.1258,              0.0010749,              0.0010749,              0.0010749
                     11,                0.83955,                0.47359,                0.97928,                0.99651,                      1,                  0.995,                0.76256,                0.85837,                0.41248,                 1.0792,              0.0011713,              0.0011713,              0.0011713
                     12,                0.72361,                0.41134,                0.96051,                0.99509,                      1,                  0.995,                0.83262,                0.65055,                0.36939,                 1.0165,              0.0012654,              0.0012654,              0.0012654
                     13,                0.72634,                0.41326,                0.96171,                0.99526,                      1,                  0.995,                0.79875,                0.74111,                0.37037,                 1.0683,               0.001357,               0.001357,               0.001357
                     14,                0.70344,                0.41378,                0.91459,                0.99649,                      1,                  0.995,                0.76915,                0.89703,                0.41261,                 1.1094,              0.0014464,              0.0014464,              0.0014464
                     15,                0.75364,                  0.423,                0.97506,                0.99674,                      1,                  0.995,                 0.7865,                0.82433,                0.40065,                 1.0679,              0.0015333,              0.0015333,              0.0015333
                     16,                0.69143,                0.46045,                0.93949,                0.99588,                      1,                  0.995,                0.86346,                0.65723,                0.37881,                 1.0117,              0.0016179,              0.0016179,              0.0016179
                     17,                 0.7196,                0.45489,                0.97317,                0.99426,                      1,                  0.995,                0.86902,                 0.6274,                0.35741,                  1.001,              0.0016832,              0.0016832,              0.0016832
                     18,                0.71488,                0.43062,                0.93033,                0.99047,                      1,                  0.995,                0.83648,                0.68934,                0.36352,                 1.0173,              0.0016634,              0.0016634,              0.0016634
                     19,                0.68995,                 0.4167,                0.94002,                0.99096,                      1,                  0.995,                0.84975,                0.69202,                0.37146,                 1.0152,              0.0016436,              0.0016436,              0.0016436
                     20,                0.66295,                0.40769,                0.89571,                0.99475,                      1,                  0.995,                0.86245,                0.60754,                0.35587,                0.98901,              0.0016238,              0.0016238,              0.0016238
                     21,                0.64386,                0.37232,                0.92714,                 0.9957,                      1,                  0.995,                0.88719,                0.57245,                0.33132,                0.97558,               0.001604,               0.001604,               0.001604
                     22,                0.70789,                0.44282,                0.93215,                0.99475,                      1,                  0.995,                0.85592,                0.58862,                0.34973,                0.96921,              0.0015842,              0.0015842,              0.0015842
